Date,Austria,Belgio,Bulgaria,Repubblica Ceca,Germania,Danimarca,Spagna,Estonia,Finlandia,Francia,Grecia,Croazia,Ungaria,Irlanda,Italia,Lituania,Lussemburgo,Lettonia,Paesi Bassi,Norvegia,Polonia,Portogallo,Romania,Russia EU,Slovacchia,Slovenia,Svezia,Turchia EU,Ucraina
21-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009510446,0
22-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004948022,0,0,0,0,0,0,-0.019020893,0
23-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009896044,0,0,0,0,0,0,-0.028531339,0
24-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014844067,0,0,0,0,0,0,-0.038041786,0
25-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019792089,0,0,0,0,0,0,-0.047552232,0
26-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024740111,0,0,0,0,0,0,-0.057062679,0
27-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007514645,0,0,0,0,0,-0.029688133,0,0,0,0,0,0,-0.066573125,0
28-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015029291,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
29-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022543936,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
30-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030058581,0,0,0,0,0,-0.034636155,0,0,0,0,0,0,-0.066573125,0
31-01-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037573226,0,0,0,0,0,-0.034636155,0,0,-0.028623062,0,0,0,-0.066573125,0
01-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045087872,0,0,0,0,0,-0.034636155,0,0,-0.057246124,0,0,0,-0.066573125,0
02-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.085869185,0,0,0,-0.066573125,0
03-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.114492247,0,0,0,-0.066573125,0
04-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.143115309,0,0,0,-0.066573125,0
05-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.171738371,0,0,0,-0.066573125,0
06-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
07-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
08-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
09-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
10-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
11-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
12-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
13-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
14-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
15-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
16-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
17-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
18-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
19-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.052602517,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
20-02-2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071828367,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
21-02-2020,0,0,0,0,0,0,0,0,0,0,0,-0.000489571,0,0,-0.091054217,0,0,0,0,0,-0.034636155,0,0,-0.200361433,0,0,0,-0.066573125,0
22-02-2020,0,0,0,0,0,0,0,0,0,0,0,-0.000979143,0,0,-0.110280066,0,0,0,0,0,-0.034636155,0,-0.001440633,-0.200361433,0,0,0,-0.066573125,0
23-02-2020,0,0,0,0,0,0,0,0,0,0,0,-0.001468714,0,0,-0.129505916,0,0,0,0,0,-0.034636155,0,-0.002881266,-0.200361433,0,0,0,-0.066573125,0
24-02-2020,0,0,0,0,0,0,0,0,0,0,0,-0.001958286,0,0,-0.148731766,0,0,0,0,0,-0.034636155,0,-0.004321899,-0.200361433,0,0,0,-0.066573125,0
25-02-2020,0,0,0,0,0,0,0,0,0,0,0,-0.002447857,0,0,-0.167957616,0,0,0,0,0,-0.034636155,0,-0.005762533,-0.200361433,0,0,0,-0.066573125,0
26-02-2020,0,0,0,0,0,0,0,0,0,-0.010315948,0,-0.002937428,0,-0.001037655,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.007203166,-0.200361433,0,0,0,-0.066573125,0
27-02-2020,0,0,0,0,0,0,0,0,0,-0.020631896,0,-0.003427,0,-0.002075311,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.008643799,-0.200361433,0,0,0,-0.066573125,0
28-02-2020,0,0,0,0,0,0,0,0,0,-0.030947844,0,-0.003427,0,-0.003112966,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
29-02-2020,0,0,0,-0.001488622,0,0,0,0,0,-0.041263792,0,-0.003427,0,-0.004150621,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
01-03-2020,0,0,0,-0.002977244,0,0,0,0,0,-0.05157974,0,-0.003427,0,-0.005188276,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
02-03-2020,0,0,0,-0.004465867,0,0,0,0,0,-0.061895687,0,-0.003427,0,-0.006225932,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
03-03-2020,0,0,0,-0.005954489,0,0,0,0,0,-0.072211635,0,-0.003427,0,-0.007263587,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
04-03-2020,0,0,0,-0.007443111,0,0,0,0,0,-0.072211635,0,-0.003427,0,-0.007263587,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
05-03-2020,0,0,-0.000679427,-0.008931733,0,0,0,0,0,-0.072211635,0,-0.003427,0,-0.007263587,-0.187183465,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,0,0,-0.066573125,0
06-03-2020,0,0,-0.001358854,-0.010420356,0,0,0,0,0,-0.072211635,-0.002063336,-0.003427,0,-0.007263587,-0.199097088,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,-0.001243562,0,-0.066573125,0
07-03-2020,0,0,-0.002038281,-0.014681796,0,0,-0.027073244,0,0,-0.072211635,-0.004126673,-0.003427,0,-0.007263587,-0.211010711,0,0,0,0,0,-0.034636155,0,-0.010084432,-0.200361433,0,-0.002487124,0,-0.066573125,0
08-03-2020,0,0,-0.002717708,-0.018943236,0,-0.003831384,-0.054146487,0,0,-0.072211635,-0.006190009,-0.003427,-0.00356296,-0.007263587,-0.222924334,0,0,0,0,0,-0.034636155,0,-0.013538763,-0.200361433,0,-0.003730685,0,-0.066573125,0
09-03-2020,0,-0.010390537,-0.003397135,-0.023204676,0,-0.007662769,-0.081219731,0,0,-0.098046472,-0.008253345,-0.003427,-0.007125919,-0.0098818,-0.234837957,-0.001481071,0,0,0,-0.006291561,-0.048772978,-0.004928701,-0.016993094,-0.200361433,0,-0.004974247,-0.002016016,-0.066573125,0
10-03-2020,0,-0.020781075,-0.006039758,-0.027466116,0,-0.011494153,-0.108292974,0,0,-0.123881309,-0.014343296,-0.003427,-0.010688879,-0.012500013,-0.24675158,-0.002962141,-0.001630574,-0.000869435,0,-0.012583122,-0.0629098,-0.009857402,-0.020447425,-0.200361433,-0.002363202,-0.006217809,-0.004032032,-0.066573125,0
11-03-2020,0,-0.031171612,-0.008682381,-0.031727556,0,-0.015325538,-0.146190056,0,0,-0.149716146,-0.020433248,-0.003427,-0.014251839,-0.015118226,-0.258665203,-0.004443212,-0.003261149,-0.001738869,0,-0.018874683,-0.077046622,-0.014786103,-0.023901756,-0.200361433,-0.004726404,-0.007461371,-0.006048049,-0.066573125,0
12-03-2020,-0.006017692,-0.041562149,-0.010645577,-0.035988997,0,-0.019156922,-0.184087137,0,0,-0.175550983,-0.026523199,-0.003427,-0.017814798,-0.017736439,-0.270578826,-0.005924282,-0.005252865,-0.002608304,0,-0.025166244,-0.091183444,-0.019714804,-0.027356087,-0.200361433,-0.007089606,-0.008704932,-0.008064065,-0.066573125,0
13-03-2020,-0.014845437,-0.051952687,-0.012608772,-0.044455069,-0.053721302,-0.024422249,-0.221984219,-0.001027942,-0.003900737,-0.20138582,-0.030549813,-0.004612454,-0.021377758,-0.020354652,-0.270578826,-0.007959467,-0.007244581,-0.003477739,-0.01591569,-0.031457805,-0.105320267,-0.024643505,-0.030810418,-0.200361433,-0.011066679,-0.009316377,-0.010080081,-0.08712407,0
14-03-2020,-0.023673182,-0.062343224,-0.014571968,-0.048659701,-0.107442603,-0.029687575,-0.232808057,-0.002055883,-0.007801474,-0.239632858,-0.034576428,-0.005797908,-0.024940718,-0.022972865,-0.270578826,-0.009994653,-0.009236296,-0.004347173,-0.031831381,-0.037749366,-0.119457089,-0.029572206,-0.034264749,-0.200361433,-0.015043751,-0.009927821,-0.012096097,-0.107675014,-0.010929455
15-03-2020,-0.032500927,-0.076515578,-0.016535164,-0.052864332,-0.161163905,-0.031121517,-0.243631895,-0.003083825,-0.011702211,-0.277879896,-0.038603043,-0.006983363,-0.024940718,-0.025591078,-0.270578826,-0.012029838,-0.011228012,-0.005216608,-0.047747071,-0.044040926,-0.133593911,-0.034500908,-0.034264749,-0.200361433,-0.019020823,-0.010539265,-0.014112114,-0.128225958,-0.021858909
16-03-2020,-0.041328672,-0.080297395,-0.01849836,-0.057068964,-0.214885207,-0.032555459,-0.254455733,-0.004111766,-0.015602948,-0.290292097,-0.042629657,-0.008168817,-0.024940718,-0.025591078,-0.270578826,-0.012583953,-0.013219728,-0.006086043,-0.063662761,-0.044040926,-0.133593911,-0.036687411,-0.034264749,-0.264021802,-0.022997895,-0.011150709,-0.014112114,-0.148776902,-0.032788364
17-03-2020,-0.050156417,-0.084079212,-0.01849836,-0.061273596,-0.268606508,-0.033989402,-0.265279571,-0.005139708,-0.019503685,-0.302704298,-0.042629657,-0.009354271,-0.024940718,-0.025591078,-0.270578826,-0.013138068,-0.01358087,-0.006086043,-0.079578452,-0.044040926,-0.133593911,-0.038873914,-0.034264749,-0.327682171,-0.024611765,-0.011762153,-0.014112114,-0.169327846,-0.043717818
18-03-2020,-0.058984161,-0.087861029,-0.01849836,-0.065478228,-0.32232781,-0.035423344,-0.265279571,-0.006167649,-0.023404422,-0.315116499,-0.042629657,-0.011321584,-0.024940718,-0.025591078,-0.270578826,-0.013692183,-0.013942011,-0.006086043,-0.095494142,-0.044040926,-0.133593911,-0.041060417,-0.034264749,-0.391342541,-0.026225635,-0.012373598,-0.014112114,-0.189878791,-0.054647273
19-03-2020,-0.061794215,-0.091642845,-0.01849836,-0.06968286,-0.376049112,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.3275287,-0.042629657,-0.013288897,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.133593911,-0.04324692,-0.034264749,-0.45500291,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.065576727
20-03-2020,-0.061794215,-0.095424662,-0.01849836,-0.06968286,-0.404745626,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.04561694,-0.014070755,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.133593911,-0.045433423,-0.034264749,-0.518663279,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
21-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.43344214,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.048604223,-0.014852613,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.133593911,-0.047619927,-0.037363415,-0.582323649,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
22-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.462138654,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.051591506,-0.015634471,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.146327001,-0.04980643,-0.04046208,-0.645984018,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
23-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.490835168,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.054578789,-0.016416329,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.159060091,-0.04980643,-0.043560746,-0.645984018,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
24-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.519531682,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.057566072,-0.017198188,-0.024940718,-0.025591078,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.171793181,-0.04980643,-0.046659411,-0.645984018,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
25-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.548228196,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.060553356,-0.017198188,-0.02673693,-0.027014235,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.184526271,-0.04980643,-0.049758077,-0.714043299,-0.027839505,-0.012985042,-0.014112114,-0.210429735,-0.076506182
26-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.028533143,-0.028437392,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.197259361,-0.04980643,-0.052856742,-0.78210258,-0.027839505,-0.012985042,-0.017673822,-0.210429735,-0.076506182
27-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.030329355,-0.029860549,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.209992451,-0.04980643,-0.055955408,-0.85016186,-0.027839505,-0.012985042,-0.021235531,-0.210429735,-0.076506182
28-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.032125568,-0.031283706,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-0.918221141,-0.027839505,-0.012985042,-0.02479724,-0.210429735,-0.076506182
29-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.03392178,-0.032706863,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-0.986280422,-0.027839505,-0.012985042,-0.028358949,-0.210429735,-0.076506182
30-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.035717993,-0.03413002,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.054339703,-0.027839505,-0.012985042,-0.031920658,-0.210429735,-0.076506182
31-03-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.035482367,-0.210429735,-0.076506182
01-04-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
02-04-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
03-04-2020,-0.061794215,-0.099206479,-0.01849836,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
04-04-2020,-0.061794215,-0.099206479,-0.016535164,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
05-04-2020,-0.061794215,-0.099206479,-0.014571968,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
06-04-2020,-0.061794215,-0.099206479,-0.012608772,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
07-04-2020,-0.061794215,-0.099206479,-0.010645577,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
08-04-2020,-0.061794215,-0.099206479,-0.008682381,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
09-04-2020,-0.061794215,-0.099206479,-0.006719185,-0.06968286,-0.57692471,-0.036857286,-0.265279571,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
10-04-2020,-0.061794215,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.036857286,-0.254455733,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.270578826,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
11-04-2020,-0.058984161,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.036857286,-0.243631895,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.258665203,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
12-04-2020,-0.056174108,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.035423344,-0.232808057,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.24675158,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
13-04-2020,-0.053364055,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.033989402,-0.221984219,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.234837957,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
14-04-2020,-0.050554002,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.032555459,-0.211160381,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.222924334,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
15-04-2020,-0.047743949,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.031121517,-0.200336543,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.211010711,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.222725541,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
16-04-2020,-0.044933896,-0.099206479,-0.004755989,-0.06968286,-0.57692471,-0.029687575,-0.189512705,-0.007195591,-0.027305159,-0.339940901,-0.063540639,-0.017198188,-0.037514205,-0.035553177,-0.199097088,-0.014246298,-0.013942011,-0.006086043,-0.111409833,-0.044040926,-0.209992451,-0.04980643,-0.055955408,-1.122398983,-0.027839505,-0.012985042,-0.039044076,-0.210429735,-0.076506182
